,Defect,Reason,Method
5389,Не включилось РУ6,"Отключился автомат ""Управление""","Включить автомат ""Управление""."
5388,Не включилось РУ6,"Реверсивная рукоятка не переведена в положение ""вперёд"" или ""назад"".",Установить реверсивную рукоятку в рабочее положение.
5387,Не включилось РУ6,Контроллер не установлен в нулевое положение.,Установить контроллер в нулевое положение.
5386,Не включилось РУ6,Перегорел предохранитель ПР-3,Заменить перегоревший предохранитель ПР3 125 А
5385,"Реле РУ6 срабатывает, но не включается реле времени РВ1, РВ2",Перегорел предохранитель на 125 А в цепи электродвигателя маслопрокачивающего насоса,Заменить перегоревший предохранитель.
5384,"При нажатии кнопки ""Пуск дизеля"" (все нужные автоматы включены) КМН не включается.","Отсутствует питание на шине контролера машиниста, отсутствует контакт автомата ""УО"" БУ(367), контакты реверсивного барабана контролера.",Напряжение на шине проверить нажатием на песочницу.
5383,"При нажатии кнопки ""Пуск дизеля"" (все нужные автоматы включены) КМН не включается.",Отсутствует контакт 4-го пальца контролера машиниста.,"Проверить положение КМ, поставить на ""0"" позицию."
5382,"При нажатии кнопки ""Пуск дизеля"" контактор КМН включается, но маслопрокачивающий насос не работает","Перегорел предохранитель на 125 А в цепи ""ЭД"" МН",Заменить перегоревший предохранитель.
5381,"При пуске прокачка масла есть (60-90 сек), но после отключения КМН пусковые контакторы не включаются",Нарушен контакт или не выведен из зацепления валоповоротный механизм (105 блокировка),Убедиться в отключении валоповоротного механизма.
5380,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла","Неисправность РВ1 или реле РДМ3, неправильная их регулировка","Прокачать масло тумблером ""Прокачка масла""."
5379,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла","Вал дизеля проворачивается, но вспышки в цилиндрах нет",7
5378,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Рейки топливных насосов не выдвигаются на подачу топлива или выходят медленно,Отключена подача топлива предельным регулятором.
5377,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Привести регулятор в рабочее положение.,
5376,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",,Заедание плунжерной пары какого либо насоса высокого давления.
5375,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Отключить вышедший из строя топливный насос.,8
5374,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла","Маслопрокачивающий насос не останавливается по истечении 60 секунд, Д1, Д2, Д3 не включаются.",Не включилось РДМ3
5373,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Проверить давление масла по мономеру и уровень масла в картере дизеля.,9
5372,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Шток сервомотора не передвигается и рейки топливных насосов остаются на нулевой подаче,Не работает пусковой сервомотор
5371,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Проверить подачу воздуха к ВП7 и исправность вентиля.,10
5370,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла","Шток сервомотора регулятора поднимается вверх до отказа, но не передвигает рейки топливных насосов на подачу топлива.",Не включен предельный регулятор.
5369,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Привести предельный регулятор в рабочее положение.,11
5368,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла","Дизель начинает работать, но при отключении пусковых контакторов останавливается",Недостаточное давление масла в системе смазки дизеля
5367,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Проверить уровень масла в дизеле.,12
5366,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",При работающем дизеле нет тока зарядки батареи,"Перегорел предохранитель ПР-1 ""160 А"""
5365,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Заменить перегоревшую вставку предохранителя.,
5364,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",,"Перегорел предохранитель ПР-2 ""125 А"""
5363,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Заменить перегоревшую вставку предохранителя.,Питание дизеля топливом при отказе топливного насоса
5362,"При нажатии кнопки ""ПД"" включаются пусковые контакторы без предварительной прокачки масла",Для аварийного питания дизеля топливом при выходе из строя ТН необходимо выключить автомат топливного насоса на ВВК. Автомат управления этим насосом на пульте должен быть включен. Открыть вентиль на резервуаре установленном в тамбуре кабины секции на которой отказал ТН. Продолжительность работы под нагрузкой на позициях с 1-ой по 5-ую составляет 30 - 35 минут. Для уменьшения мощности ГГ разрешается отключить один ТЭД.,При установке штурвала контролера на первую позицию тепловоз с места не трогается
5361,"Тепловоз приходит в движение, но по кА и кВ наблюдается обратная полярность.",Отсутствие напряжения на зажимах СПВ,"Включить автомат А17 ""Подвозбудитель"""
5360,"Тепловоз приходит в движение, но по кА и кВ наблюдается обратная полярность.","Обрыв цепи независимой обмотки возбуждения СПВ, обрыв ремней привода, зависание щёток, загрязнения колец.",Перейти на аварийное возбуждение.
5359,"Тепловоз приходит в движение, но по кА и кВ наблюдается обратная полярность.",Неисправность в цепи АВ или выпрямительного блока В2,Перейти на аварийное возбуждение.
5358,"Тепловоз приходит в движение, но по кА и кВ наблюдается обратная полярность.",Неисправность СПВ,Перейти на аварийное возбуждение.
5357,"В режиме тяги, при переводе контролера с 11 на 12 позицию происходит сброс нагрузки","Низкое давление масла в системе дизеля менее 2,2 +/- 0,25 кгс/см2",Следовать в режиме тяги до 11 - ой позиции контролера.
5356,"В режиме тяги, при переводе контролера с 11 на 12 позицию происходит сброс нагрузки",Неисправность РДМ2.,Следовать в режиме тяги до 11-ой позиции контролера.
5355,Сброс нагрузки с 1 - ой позиции.,Перегрев воды охлаждения дизеля или масла.,Проверьте работу вентилятора и жалюзи на ручном управлении холодильника. Охладите воду или масло.
5354,"Снимается нагрузка, но дополнительно включается сигнальная лампа ""Реле заземления"".",Сработало реле заземления. В силовой цепи - пробой на корпус или частичное разрушение изоляции.,"Осмотрите всю силовую цепь. Если повреждение не обнаружено, снимите реле с защелки путём переключения автомата ""Возбуждение"" и попытайтесь продолжить движение. Возможно, реле снова срабатывает, а место повреждения все же не обнаружено. Тогда вновь установите реле в нормальное положение и попытайтесь поочередно отключать ОМ1-ОМ6. Когда и это не дает эффекта, рубильником отключите реле заземления и продолжайте движение до основного или оборотного депо, соблюдая повышенное внимание силовой цепи ТЭД, ГГ."
5353,Дизель идет вразнос (резко увеличивается частота вращения коленчатого вала).,Нарушен привод объединённого регулятора дизеля.,Следовать на одной секции.
5352,Дизель идет вразнос (резко увеличивается частота вращения коленчатого вала).,Заклинивание насосов блока топливных насосов.,Неисправный топливный насос отключить.
5351,Низкое давление масла в системе смазки.,Пониженная вязкость масла вследствие его перегрева.,"Проверить работу вентиляторов и открытие жалюзи. Снизить температуру масла, переводом секции на холостой ход."
5350,Низкое давление масла в системе смазки.,Пониженная вязкость масла вследствие попадания топлива или охлаждающей жидкости.,"Проверить уровень масла в картере дизеля, при повышении уровня, остановить дизель, при отрицательной температуре наружного воздуха, слить охлаждающую воду."
5349,Низкое давление масла в системе смазки.,,Низкое давление масла в системе смазки.
5348,Низкое давление масла в системе смазки.,Пропуск масла по соединениям трубопровода.,"Устранить утечки масла в трубопроводе масляной системы. При уровне масла ниже минимальной отметки остановить дизель, при отрицательной температуре наружного воздуха, слить охлаждающую воду."
5347,Низкое давление масла в системе смазки.,Недостаточное количество масла в картере дизеля,"Проверить уровень масла в картере дизеля. При уровне масла ниже минимальной отметки остановить дизель, при отрицательной температуре наружного воздуха, слить охлаждающую воду."
5346,Снижение уровня воды в расширительном баке.,Утечка воды из системы охлаждения.,"Немедленно снять нагрузку и остановить дизель. Выяснить причину утечки, при возможности устранить. При невозможности, при отрицательной температуре наружного воздуха, слить охлаждающую воду."
5345,"Появление давления в картере (показания дифманометра, дымление из заливной горловины, повышенная течь масла по местам соединений и люкам).","Неисправен поршень (имеется трещина или прогар, разрушение уплотнительных колец)","Немедленно остановить дизель. При отрицательной температуре наружного воздуха, слить охлаждающую воду."
5344,"Стук, внезапно возникающий при работе дизеля.",Неисправность шатунно-поршневой группы.,Немедленно остановите дизель. До устранения стуков запуск дизеля не допускается.
5343,"Дизель работает неустойчиво, наблюдается резкое колебание частоты вращения (по тахометру).",Неисправен регулятор частоты вращения.,Проверить уровень масла в регуляторе.
5342,При повышении температуры воды и масла вентилятор холодильника не увеличивает частоту вращения.,Неисправны датчики ДТПМ.,Перейти на ручное управление.
5341,"При повышении температуры воды и масла частота вращения вала вентилятора холодильника увеличивается, жалюзи не открываются.",Не включается микропереключатель.,Перейти на ручное управление.
5340,"При повышении температуры воды и масла частота вращения вала вентилятора холодильника увеличивается, жалюзи не открываются.",Откройте жалюзи вручную.,25
5339,"При повышении температуры воды и масла частота вращения вала вентилятора холодильника увеличивается, жалюзи не открываются.","При наборе позиций обороты дизеля увеличиваются, включается только РУ4, реверсор не разворачивается в нужном направлении","Не включен ЭПК-150, нет контакта блокировки контакта."
5338,"При повышении температуры воды и масла частота вращения вала вентилятора холодильника увеличивается, жалюзи не открываются.",Включить ЭПК-150.,
5337,"При повышении температуры воды и масла частота вращения вала вентилятора холодильника увеличивается, жалюзи не открываются.",,Неисправна (сгорела) катушка вентиля реверсора.
5336,"При повышении температуры воды и масла частота вращения вала вентилятора холодильника увеличивается, жалюзи не открываются.",Перевести реверсор ключом вручную.,"При включении на пульте управления автомата ""ТН"" топливный насос не работает"
5335,КТН не включаются,"Нарушен контакт автомата ""ТН"" пульта или его выбивает",Переключить автомат несколько раз.
5334,КТН не включаются,Сработало РУ-7,Выяснить причину срабатывания РУ-7. При давлении в картере запуск запрещён.
5333,КТН включается,"Нарушен контакт между проводами 227 и 249 автомата ""ТН"" на ВВК или его выбивает","Переключить автомат ""ТН"" на ВВК несколько раз."
5332,КТН включается,Вышел из строя электродвигатель топливного насоса.,Пуск дизеля и следование до станции на аварийном питание топливом.
5331,"При включении тумблера ""ТН-1"" топливоподкачивающий насос не работает.",Включено РУ-7,"Обесточить РУ-7 отключением автомата ""Дизель"""
5330,"При включении тумблера ""ТН-1"" топливоподкачивающий насос не работает.",Неисправен блок пожарной сигнализации,Взвести общий автомат управления
5329,"При включении тумблера ""ТН-1"" топливоподкачивающий насос не работает.","Вышел из строя тумблер ""ТН""",Поставить перемычку между клеммами под пультом 11/1; 2-12/12
5328,"При включении тумблера ""ТН-1"" топливоподкачивающий насос не работает.","Выбило или не включен автомат ""дизель"".",Включить автомат.
5327,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,Попадание воздуха в топливную систему дизеля.,"Для удаления воздуха из топливной системы включить топливоподкачивающий агрегат, открыть вентиль, на трубе от топливоподкачивающего агрегата, иглы на ФТО."
5326,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,Неисправность в цепи зарядки АБ после запуска дизеля,30
5325,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,После запуска дизеля отсутствует зарядка АБ (стрелка амперметра на пульте стоит на нулевом давлении),Перегорел предохранитель АБ на 125А
5324,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,Сменить перегоревший предохранитель.,31
5323,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,После запуска дизеля разряд АБ,Перегорел предохранитель на 160 А
5322,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,Сменить перегоревший предохранитель.,
5321,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,,"Неисправен БРН по причинам, которые не могут быть устранены в пути следования"
5320,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,Отсоединить фишку БРН.,
5319,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,,Неисправен ДЗБ
5318,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,"Если диод ДЗБ пробит, то во время остановки дизеля стрелка амперметра зарядки будет находиться в крайнем левом положении до тех пор пока не перегорит легкоплавкая вставка предохранителя ПР1 на 160А в цепи вспомогательного генератора.","В этом случае надо вынуть предохранитель из гнезда и заменить вставку. На место предохранитель можно ставить только после запуска дизеля, а перед каждой остановкой в обязательном порядке вынимать из гнезда."
5317,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,Неисправность в цепи датчика контроля целостности тормозной магистрали,32
5316,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,"Горит контрольная лампа на пульте обрыва ""ТМ""",Проверить целостность ТМ.
5315,Стрелки манометров давления топлива на щите приборов в дизельном помещении вибрируют.,"При ложном срабатывании защиты вывести РУ-1 отключением автомата ""УО"".",Неисправность компрессора КТ-7
5314,Давление в ГР повышается выше нормального,Неисправность 3РД,Переключить 3РД с противоположной секции
5313,Давление в ГР повышается выше нормального,Приложение N 2,к Перечню действий локомотивных
5312,Давление в ГР повышается выше нормального,бригад по выявлению и устранению,неисправностей на локомотивах
5311,Давление в ГР повышается выше нормального,при поездной и маневровой работе,
5310,Давление в ГР повышается выше нормального,"Порядок действий локомотивных бригад по выявлению и устранению неисправностей на тепловозах 2ТЭ10М, 2ТЭ10МК, 2ТЭ10У, 2ТЭ10УК",
5309,Давление в ГР повышается выше нормального,N,Неисправность
5308,Давление в ГР повышается выше нормального,Вероятная причина,Метод устранения неисправности
5307,"При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается:",,КТН не срабатывает
5306,"При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается:","Не включен автомат ""Дизель"".","Включить автомат ""Дизель""."
5305,"При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается:",,КТН срабатывает
5304,"При включении тумблера ""Топливный насос"" вал топливоподкачивающего агрегата не вращается:","Не включен или выбивает автомат ""Топливный насос""","Включить автомат ""Топливный насос""."
5303,"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает:","Отключился автомат ""Управление""",Включить автомат.
5302,"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает:",Реверсивная рукоятка не переведена в рабочее положение,Установить реверсивную рукоятку в рабочее положение.
5301,"При нажатии кнопки ""Пуск дизеля"" маслопрокачивающий насос не работает:",Контроллер не установлен в нулевое положение,Установить контроллер в нулевое положение.
5300,"Реле РУ6 срабатывает, но не включается реле времени РВ1",Перегорел предохранитель на 125 А в цепи электродвигателя маслопрокачивающего насоса,Заменить плавкую вставку предохранителя
5299,Рейки топливных насосов не выдвигаются на подачу топлива,Отключена подача топлива предельным выключателем,Восстановить предельный выключатель в рабочее положение рукояткой взвода
5298,Рейки топливных насосов не выдвигаются на подачу топлива или выходят медленно,Заедание плунжерной пары какого либо насоса или общей тяги подачи топлива,Проверить свободность хода реек топливных насосов. Неисправный насос отключить выводом поводка от общей тяги
5297,Сработало термореле воды или масла,Перегрев в системе охлаждения воды или масла,Проверить работу вентилятора и жалюзей на ручном управлении холодильника. Охладите воду или масло.
5296,Сработало термореле воды или масла,При выходе из строя запорного клапана отрегулировать давление в гидромуфте обходным вентилем,7
5295,Сработало термореле воды или масла,"Снимается нагрузка, но дополнительно включается сигнальная лампа ""Реле заземления""",Пробой изоляции силовой цепи тепловоза
5294,Сработало термореле воды или масла,"Осмотреть главный генератор (Г.Г.) и при отсутствии следов переброса и запаха горелой изоляции, обратить внимание на поездной реверсор (П.Р.)","Далее на нулевой позиции контроллера кратковременным нажатием кнопки перевести реле заземления в отключенное состояние. Затем, поочерёдно включая тумблера ОМ1 - ОМ6 и набирая тяговые позиции (не выше пятой), по повторному срабатыванию реле заземления определить цепь с повреждённым двигателем. На нулевой позиции контроллера отключить ВРЗ-1 и с помощью кнопки вновь отключить реле заземления. Повторить набор позиций с выключенным неисправным двигателем. Если реле не включилось, пробой изоляции на минусовой стороне, если включилось - на плюсовой. Неисправный электродвигатель отключить с плюсовой стороны соответствующим тумблером ОМ1 - ОМ6."
